id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
816,SEPA INVEST LLC,STONE BAY HOLDINGS LLC,921 N PINE ST,WILMINGTON,2024-07-18,40500,140000
817,NINE22 LLC,UNITED WHOLESALE MORTGAGE LLC,407 S CLAYMONT ST,WILMINGTON,2024-07-18,0,86250
818,SANCOR REAL ESTATE LLC,MORTGAGE FUNDING 04 LLC,1907 NEWPORT GAP PIKE,WILMINGTON,2024-07-18,0,217800
819,SELECTIVE REAL ESTATE SOLUTIONS LLC,LARRYS LATE NIGHT LENDING LLC,21 MONTICELLO BLVD,NEW CASTLE,2024-07-18,0,292750
820,RESERVE AT TIMBERLAKE LLC,KEYSTONE FUNDING INC,40 PAYSAN LN,MAGNOLIA,2024-07-17,485000,363750
821,TRUST PROPERTIES LLC,SHALLCROSS MORTGAGE COMPANY,8972 BURNITE MILL RD,FELTON,2024-07-17,217000,275000
822,GM CAPITAL INVESTMENTS INC,BRRRR FUNDER LLC,1508 W 3RD ST,WILMINGTON,2024-07-17,0,232000
823,DE HOME SOLUTIONS LLC,SHALLCROSS MORTGAGE COMPANY,26 STROUD ST,WILMINGTON,2024-07-17,0,168000
824,CITY LIVING LLC,KELLY KEVIN,2623 DARBY DR,WILMINGTON,2024-07-17,0,180000
825,WESTMORELAND ASSOCIATES LLC,APPLIED BANK,401 S MARYLAND AVE,WILMINGTON,2024-07-17,1512000,1312000
826,GODSPEED TRANSPORT LLC,DEL-ONE FEDERAL CREDIT UNION,105 CLEVELAND AVE,WILMINGTON,2024-07-17,0,283341
827,WINGO HOLDINGS LLC,KNIGHT OWL HOLDINGS IV LLC,1026 S CHAPEL ST,NEWARK,2024-07-16,560000,560000
828,DELAWARE HOME RENOVATIONS LLC,PARIKH ANUSH,10 PETRO DR,WILMINGTON,2024-07-16,0,210000
829,JJPI HOMES LLC,LARRYS LATE NIGHT LENDING LLC,405 WEST AVE,NEW CASTLE,2024-07-16,0,200000
